"ENSG_id","SRR7351059","SRR7351063","SRR7351065","SRR7351060","SRR7351064","SRR7351066"
"ENSG00000038295",0,0,0,0,0,0
"ENSG00000038358",1361,1522,1051,1730,921,669
"ENSG00000038382",1395,2050,976,1815,673,562
"ENSG00000038427",21793,24010,39789,28091,14289,39837
"ENSG00000038532",860,890,724,1031,517,449
"ENSG00000038945",185,274,315,290,196,342
"ENSG00000039068",12,19,9,19,8,2
"ENSG00000039123",1095,911,650,1136,558,330
"ENSG00000039139",0,2,1,0,14,0
"ENSG00000039319",1951,1461,4010,1776,1849,3004
"ENSG00000039523",2422,2448,2358,2522,1643,1725
"ENSG00000039537",0,0,0,0,0,0
"ENSG00000039560",5,12,10,2,3,1
"ENSG00000039600",9,3,5,0,0,0
"ENSG00000039650",1883,1656,1472,2207,1281,868
"ENSG00000039987",3,2,4,3,0,3
"ENSG00000040199",427,390,178,524,174,71
"ENSG00000040275",169,146,93,229,77,46
"ENSG00000040341",535,479,454,514,335,384
"ENSG00000040487",181,268,269,218,200,165
"ENSG00000040531",240,306,225,349,208,172
"ENSG00000040608",21,26,6,42,14,2
"ENSG00000040633",874,751,1229,990,1031,838
"ENSG00000040731",0,0,0,0,0,0
